Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
MagnusCarlsen,(3283),GM,DanielNaroditsky,(3235),GM,01,86.3 96.9,21,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3293),GM,dropstoneDP,(3127),GM,01,90.9 95.2,78,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3305),GM,rquery98,(2717),IM,10,94.5 86.2,41,"Sep 16, 2023",1 min,Y
Jospem,(3144),GM,MagnusCarlsen,(3304),GM,10,89 85,91,"Sep 16, 2023",1 min,Y
vugarrasulov,(2924),GM,MagnusCarlsen,(3316),GM,01,70.2 86.4,32,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3314),GM,Msb2,(3090),GM,½½,87.8 87.2,73,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3319),GM,vugarrasulov,(2926),GM,10,84.4 71.9,21,"Sep 16, 2023",1 min,Y
latigre,(1593),CM,MagnusCarlsen,(3317),GM,01,75.6 83.7,38,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3317),GM,adotand,(2896),GM,10,91.7 84.6,47,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3316),GM,Sl4werThanYou,(2855),FM,10,93.2 88,50,"Sep 16, 2023",1 min,Y
djamir,(2806),FM,MagnusCarlsen,(3315),GM,01,83.7 84.2,54,"Sep 16, 2023",1 min,Y
TrenerChos,(2648),IM,MagnusCarlsen,(3314),GM,01,82.8 90.2,34,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3314),GM,penguingm1,(3094),GM,10,94.5 87.8,36,"Sep 16, 2023",1 min,Y
rezamahdavi2008,(2920),FM,MagnusCarlsen,(3310),GM,01,79.9 79.4,55,"Sep 16, 2023",1 min,Y
Haykoooo0o,(2570),FM,MagnusCarlsen,(3308),GM,½½,79.2 82.2,61,"Sep 16, 2023",1 min,Y
Durarbayli,(2911),GM,MagnusCarlsen,(3316),GM,01,81.2 88.3,37,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3315),GM,chess123456s,(2643),FM,10,89.8 80.8,42,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3315),GM,Oleksandr_Bortnyk,(3157),GM,10,86.7 82.6,88,"Sep 16, 2023",1 min,Y
jumpingknight20,(2867),FM,MagnusCarlsen,(3310),GM,01,54.1 86.9,15,"Sep 16, 2023",1 min,Y
DanielNaroditsky,(3195),GM,MagnusCarlsen,(3309),GM,01,84.2 95.1,34,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3303),GM,CuteSheepCloud,(2750),NM,10,86.3 78.9,55,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3302),GM,DanielNaroditsky,(3200),GM,01,81 86.8,49,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3313),GM,mitrabhaa,(2936),GM,10,84.8 75.9,49,"Sep 16, 2023",1 min,Y
LionTheLeon_06,(2802),GM,MagnusCarlsen,(3311),GM,01,79.1 89.1,26,"Sep 16, 2023",1 min,Y
MagnusCarlsen,(3310),GM,harshu27,(2437),NM,10,87.1 76.1,28,"Sep 16, 2023",1 min,Y
mitrabhaa,(2942),GM,MagnusCarlsen,(3310),GM,01,79.1 85.1,40,"Sep 16, 2023",1 min,Y
Oleksandr_Bortnyk,(3159),GM,MagnusCarlsen,(3308),GM,01,86.5 94.3,21,"Sep 16, 2023",1 min,Y
vugarrasulov,(2937),GM,MagnusCarlsen,(3303),GM,01,72.4 95.6,12,"Sep 16, 2023",1 min,Y
