Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
GM_dmitrij,(3070),GM,eljanov,(2891),GM,10,91.1 86.9,45,"Sep 9, 2023",3 min,N
eljanov,(2895),GM,GM_dmitrij,(3066),GM,01,85.1 91.7,58,"Sep 9, 2023",3 min,N
GM_dmitrij,(3061),GM,eljanov,(2900),GM,01,84.1 95.1,42,"Sep 9, 2023",3 min,N
eljanov,(2888),GM,GM_dmitrij,(3073),GM,01,87.4 92.9,31,"Sep 9, 2023",3 min,N
GM_dmitrij,(3069),GM,eljanov,(2892),GM,½½,84.5 84.1,63,"Sep 9, 2023",3 min,N
eljanov,(2888),GM,GM_dmitrij,(3073),GM,01,83.4 86.5,58,"Sep 9, 2023",3 min,N
GM_dmitrij,(3069),GM,eljanov,(2892),GM,10,Review,57,"Sep 9, 2023",3 min,N
jacky72,(2875),IM,GM_dmitrij,(3065),GM,01,75.8 79.6,78,"Sep 9, 2023",3 min,N
GM_dmitrij,(3061),GM,jacky72,(2879),IM,10,89.1 78.1,36,"Sep 9, 2023",3 min,N
jacky72,(2883),IM,GM_dmitrij,(3057),GM,01,80.2 91.7,34,"Sep 9, 2023",3 min,N
GM_dmitrij,(3053),GM,jacky72,(2887),IM,10,94.4 79,27,"Sep 9, 2023",3 min,N
GM_dmitrij,(3000),GM,Njal28,(3037),GM,01,76 78.1,51,"Sep 9, 2023",1 min,Y
Indianlad,(2985),GM,GM_dmitrij,(3008),GM,10,71.9 75.5,58,"Sep 9, 2023",1 min,Y
ToivoK3,(3005),FM,GM_dmitrij,(3017),GM,10,Review,39,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3026),GM,aranibos,(2001),FM,10,Review,31,"Sep 9, 2023",1 min,Y
Rutricks,(2797),IM,GM_dmitrij,(3026),GM,01,Review,26,"Sep 9, 2023",1 min,Y
Oleksandr_Bortnyk,(3131),GM,GM_dmitrij,(3022),GM,10,88.7 91,60,"Sep 9, 2023",1 min,Y
kingofthenil,(2794),IM,GM_dmitrij,(3028),GM,01,75 69.5,33,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3025),GM,Rutricks,(2801),IM,01,Review,31,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3038),GM,frederiksvane,(3015),GM,01,Review,45,"Sep 9, 2023",1 min,Y
Abund,(2864),NM,GM_dmitrij,(3047),GM,10,Review,21,"Sep 9, 2023",1 min,Y
aranibos,(1991),FM,GM_dmitrij,(3059),GM,01,Review,17,"Sep 9, 2023",1 min,Y
amintabatabaei,(3073),GM,GM_dmitrij,(3059),GM,10,Review,65,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3067),GM,MITerryble,(3050),IM,½½,Review,79,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3067),GM,Indianlad,(2987),GM,10,Review,23,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3060),GM,rezamahdavi2008,(2917),FM,10,Review,29,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3055),GM,rasmussvane,(2993),GM,01,Review,56,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3065),GM,KorolDimitriy75,(2367),NM,10,92.2 79.8,27,"Sep 9, 2023",1 min,Y
frederiksvane,(2992),GM,GM_dmitrij,(3065),GM,01,80.9 86.9,27,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3058),GM,Verony64,(2175),WGM,10,81.6 63.9,32,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3058),GM,ToivoK3,(2980),FM,10,Review,67,"Sep 9, 2023",1 min,Y
whyme85,(2381),FM,GM_dmitrij,(3051),GM,01,Review,21,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3051),GM,s_stefi,(2007),WCM,10,Review,33,"Sep 9, 2023",1 min,Y
Rutricks,(2804),IM,GM_dmitrij,(3051),GM,01,Review,16,"Sep 9, 2023",1 min,Y
12teen,(2920),NM,GM_dmitrij,(3048),GM,10,Review,38,"Sep 9, 2023",1 min,Y
nihalsarin,(3225),GM,GM_dmitrij,(3059),GM,½½,Review,102,"Sep 9, 2023",1 min,Y
Verony64,(2166),WGM,GM_dmitrij,(3055),GM,01,78.8 81.2,42,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3055),GM,Rutricks,(2807),IM,10,Review,25,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3052),GM,12teen,(2913),NM,01,Review,26,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3064),GM,yavrukurt40,(2910),FM,10,98.8 69.1,11,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3059),GM,HansOnTwitch,(3080),GM,01,Review,63,"Sep 9, 2023",1 min,Y
12teen,(2904),NM,GM_dmitrij,(3068),GM,01,Review,17,"Sep 9, 2023",1 min,Y
tteshan,(2533),FM,GM_dmitrij,(3063),GM,01,Review,68,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3062),GM,starworld123,(2886),GM,10,Review,92,"Sep 9, 2023",1 min,Y
Njal28,(3003),GM,GM_dmitrij,(3057),GM,01,Review,38,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3048),GM,annacramling,(2145),WFM,10,86.4 79.3,39,"Sep 9, 2023",1 min,Y
Gyulamiryan-koryun,(2283),CM,GM_dmitrij,(3048),GM,01,Review,20,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3048),GM,CuteSheepCloud,(2784),NM,10,Review,20,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3044),GM,Chessmissile07,(2776),FM,½½,Review,74,"Sep 9, 2023",1 min,Y
Indianlad,(2982),GM,GM_dmitrij,(3051),GM,10,Review,35,"Sep 9, 2023",1 min,Y
ThePeacefulPanda,(2399),NM,GM_dmitrij,(3064),GM,01,81.9 93.4,39,"Sep 9, 2023",1 min,Y
MITerryble,(3060),IM,GM_dmitrij,(3064),GM,01,Review,29,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3053),GM,TigrVShlyape,(2650),GM,10,Review,31,"Sep 9, 2023",1 min,Y
CuteSheepCloud,(2809),NM,GM_dmitrij,(3051),GM,01,Review,34,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3046),GM,le-koala-fou,(2349),CM,10,Review,60,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3046),GM,GMForgacs,(2404),FM,10,Review,31,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3045),GM,Dontmesswithme_2,(2301),NM,10,Review,36,"Sep 9, 2023",1 min,Y
matagordo,(2252),IM,GM_dmitrij,(3045),GM,01,Review,48,"Sep 9, 2023",1 min,Y
GMForgacs,(2399),FM,GM_dmitrij,(3045),GM,01,Review,22,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3044),GM,Chesscoach_Golichenko,(2634),IM,10,Review,85,"Sep 9, 2023",1 min,Y
GM_dmitrij,(3042),GM,ogpin,(2275),CM,10,Review,28,"Sep 9, 2023",1 min,Y
Sacbutt,(2311),NM,GM_dmitrij,(3042),GM,01,Review,41,"Sep 9, 2023",1 min,Y
Chessmissile07,(2905),FM,GM_dmitrij,(3048),GM,01,68.6 80,41,"Sep 8, 2023",3 min,N
GM_dmitrij,(3043),GM,ManuDavid2910,(2820),FM,10,72.9 64.9,52,"Sep 8, 2023",3 min,N
ManuDavid2910,(2824),FM,GM_dmitrij,(3039),GM,01,Review,42,"Sep 8, 2023",3 min,N
GM_dmitrij,(3035),GM,ckgchess,(2862),GM,01,79 79.6,75,"Sep 7, 2023",3 min,N
ckgchess,(2850),GM,GM_dmitrij,(3047),GM,01,74.7 82.9,46,"Sep 7, 2023",3 min,N
GM_dmitrij,(3043),GM,ckgchess,(2854),GM,10,82.9 79,52,"Sep 7, 2023",3 min,N
ckgchess,(2858),GM,GM_dmitrij,(3039),GM,10,95.1 83.1,20,"Sep 7, 2023",3 min,N
GM_dmitrij,(3051),GM,ckgchess,(2846),GM,10,89.1 79.3,27,"Sep 7, 2023",3 min,N
GM_dmitrij,(3047),GM,Deboitoss,(2767),,01,83.7 90.3,88,"Sep 7, 2023",3 min,N
GM_dmitrij,(3061),GM,Tagmatarxis,(2766),,10,88.5 81.7,59,"Sep 7, 2023",3 min,N
Tagmatarxis,(2769),,GM_dmitrij,(3058),GM,01,83.3 89.1,79,"Sep 7, 2023",3 min,N
RadoslawPsyk,(2906),,GM_dmitrij,(3055),GM,10,88.5 82.1,50,"Sep 7, 2023",3 min,N
GM_dmitrij,(3067),GM,RadoslawPsyk,(2894),,10,Review,60,"Sep 7, 2023",3 min,N
GM_dmitrij,(3063),GM,Bigfish1995,(3077),GM,10,87.8 82.5,36,"Sep 5, 2023",3|1,Y
FabianoCaruana,(3081),GM,GM_dmitrij,(3054),GM,01,76.9 84,56,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3045),GM,sergoy,(2914),GM,10,83.9 77.6,65,"Sep 5, 2023",3|1,Y
TigrVShlyape,(2882),GM,GM_dmitrij,(3040),GM,01,80.3 80.4,38,"Sep 5, 2023",3|1,Y
Firouzja2003,(3128),GM,GM_dmitrij,(3035),GM,10,94.4 86.1,48,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3041),GM,Hikaru,(3249),GM,½½,92.2 92.2,93,"Sep 5, 2023",3|1,Y
grzechu96,(2663),GM,GM_dmitrij,(3037),GM,01,79.1 87.5,27,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3035),GM,GrigorGrigorov,(2869),GM,10,93.9 87.2,42,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3030),GM,sofaceindisguise,(2731),FM,10,96.5 93.7,57,"Sep 5, 2023",3|1,Y
Mikhail_Golubev,(2596),GM,GM_dmitrij,(3028),GM,01,84.1 89.7,36,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3027),GM,2346PL,(2492),NM,10,87.2 81.3,41,"Sep 5, 2023",3|1,Y
GP9isback23,(2661),FM,GM_dmitrij,(3026),GM,01,87.4 94,32,"Sep 5, 2023",3 min,N
GM_dmitrij,(3024),GM,GP9isback23,(2663),FM,10,87.9 82.2,46,"Sep 5, 2023",3 min,N
JeRoma71,(2826),FM,GM_dmitrij,(3022),GM,½½,90.1 76.5,14,"Sep 5, 2023",3 min,N
GM_dmitrij,(3026),GM,JeRoma71,(2822),FM,10,85.6 79.8,56,"Sep 5, 2023",3 min,N
Ramosha,(2672),FM,GM_dmitrij,(3022),GM,10,93.6 89.4,63,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3036),GM,CarlosjPineror,(2529),IM,10,Review,49,"Sep 5, 2023",3|1,Y
GM_dmitrij,(3035),GM,Chessmissile07,(2886),FM,10,95.3 91.1,43,"Sep 5, 2023",3 min,N
scythian101,(2652),,GM_dmitrij,(3030),GM,01,85.8 93.6,20,"Sep 5, 2023",3 min,N
GM_dmitrij,(3028),GM,scythian101,(2654),,10,Review,21,"Sep 5, 2023",3 min,N
Mikasinski,(2739),FM,GM_dmitrij,(3026),GM,10,Review,23,"Sep 5, 2023",3 min,N
GM_dmitrij,(3040),GM,Mikasinski,(2725),FM,10,Review,62,"Sep 5, 2023",3 min,N
CSS33X,(2822),,GM_dmitrij,(3038),GM,01,Review,60,"Sep 5, 2023",3 min,N
GM_dmitrij,(3034),GM,TrimitziosP7,(2807),FM,01,83.2 92.6,53,"Sep 5, 2023",3 min,N
TrimitziosP7,(2794),FM,GM_dmitrij,(3047),GM,01,86.2 95.8,21,"Sep 5, 2023",3 min,N
GM_dmitrij,(3044),GM,tactic,(2657),NM,10,87 82.6,55,"Sep 4, 2023",3 min,N
tactic,(2659),NM,GM_dmitrij,(3042),GM,01,81.6 90.8,44,"Sep 4, 2023",3 min,N
lonelydaysnknights,(2694),,GM_dmitrij,(3040),GM,10,76.6 76.2,26,"Sep 4, 2023",3 min,N
GM_dmitrij,(3054),GM,lonelydaysnknights,(2680),,10,Review,41,"Sep 4, 2023",3 min,N
tirelessftr,(2921),,GM_dmitrij,(3052),GM,10,Review,65,"Sep 4, 2023",3 min,N
GM_dmitrij,(3063),GM,tirelessftr,(2910),,01,Review,67,"Sep 4, 2023",3 min,N
JeRoma71,(2804),FM,GM_dmitrij,(3075),GM,10,83.3 73.8,51,"Sep 4, 2023",3 min,N
GM_dmitrij,(3089),GM,JeRoma71,(2790),FM,10,94.9 84,23,"Sep 4, 2023",3 min,N
JeRoma71,(2793),FM,GM_dmitrij,(3086),GM,01,81.2 86.9,37,"Sep 4, 2023",3 min,N
GM_dmitrij,(3083),GM,JeRoma71,(2796),FM,10,92 82.7,40,"Sep 4, 2023",3 min,N
mishanick,(3109),GM,GM_dmitrij,(3080),GM,10,75.3 72,79,"Sep 1, 2023",3 min,N
GM_dmitrij,(3088),GM,mishanick,(3101),GM,10,78.2 72.2,37,"Sep 1, 2023",3 min,N
mishanick,(3110),GM,GM_dmitrij,(3079),GM,01,0 0,25,"Sep 1, 2023",3 min,N
GM_dmitrij,(3070),GM,mishanick,(3119),GM,10,92.9 84.5,31,"Sep 1, 2023",3 min,N
mishanick,(3129),GM,GM_dmitrij,(3060),GM,½½,84.4 86.1,52,"Sep 1, 2023",3 min,N
GM_dmitrij,(3058),GM,mishanick,(3131),GM,10,88.3 84.1,26,"Sep 1, 2023",3 min,N
Beca95,(2968),GM,GM_dmitrij,(3048),GM,10,83.2 78.7,33,"Aug 29, 2023",3|1,Y
GM_dmitrij,(3058),GM,Anton_Demchenko,(2918),GM,10,95.5 87.9,34,"Aug 29, 2023",3|1,Y
BillieKimbah,(3049),GM,GM_dmitrij,(3053),GM,10,95.6 77.5,26,"Aug 29, 2023",3|1,Y
GM_dmitrij,(3062),GM,promen1999,(2880),GM,½½,85.6 85.9,66,"Aug 29, 2023",3|1,Y
YQPerez,(2895),GM,GM_dmitrij,(3066),GM,01,82.6 94.5,45,"Aug 29, 2023",3|1,Y
GM_dmitrij,(3061),GM,Elsa167,(2876),GM,10,90.6 84.7,85,"Aug 29, 2023",3|1,Y
GM_dmitrij,(3057),GM,TanitoluwaAps116,(2783),FM,10,82.3 76.7,47,"Aug 29, 2023",3|1,Y
Malev212,(2666),GM,GM_dmitrij,(3054),GM,01,82.7 84.2,41,"Aug 29, 2023",3|1,Y
GM_dmitrij,(3052),GM,subham777,(2514),NM,10,91.2 81.2,34,"Aug 29, 2023",3|1,Y
abenbabu,(419),,GM_dmitrij,(3042),GM,01,78.8 92.1,31,"Aug 26, 2023",1 min,N
Tobias_Koelle,(2945),IM,GM_dmitrij,(3051),GM,01,83.1 90.5,53,"Aug 26, 2023",3 min,N
GM_dmitrij,(3045),GM,Tobias_Koelle,(2951),IM,½½,89.7 87.3,63,"Aug 26, 2023",3 min,N
GM_dmitrij,(3047),GM,nihalsarin,(3144),GM,01,86.1 95.4,30,"Aug 19, 2023",3 min,N
nihalsarin,(3138),GM,GM_dmitrij,(3053),GM,01,86.1 94.9,34,"Aug 19, 2023",3 min,N
GM_dmitrij,(3043),GM,nihalsarin,(3148),GM,10,98.1 92.8,64,"Aug 19, 2023",3 min,N
nihalsarin,(3159),GM,GM_dmitrij,(3032),GM,10,95.8 88.5,38,"Aug 19, 2023",3 min,N
GM_dmitrij,(3037),GM,nihalsarin,(3154),GM,01,87.8 96,24,"Aug 19, 2023",3 min,N
nihalsarin,(3148),GM,GM_dmitrij,(3043),GM,01,73.4 82.8,31,"Aug 19, 2023",3 min,N
GM_dmitrij,(3032),GM,nihalsarin,(3159),GM,10,94.2 82,23,"Aug 19, 2023",3 min,N
nihalsarin,(3170),GM,GM_dmitrij,(3021),GM,01,84.5 90.9,64,"Aug 19, 2023",3 min,N
GM_dmitrij,(3009),GM,nihalsarin,(3182),GM,01,80.7 89.3,30,"Aug 19, 2023",3 min,N
nihalsarin,(3177),GM,GM_dmitrij,(3014),GM,½½,92.1 91.8,30,"Aug 19, 2023",3 min,N
GM_dmitrij,(3010),GM,AndresSgarzon,(2809),,10,91.3 80.5,26,"Aug 18, 2023",3 min,N
GM_dmitrij,(3042),GM,Fibrinogen,(2775),FM,½½,84.4 87.4,52,"Aug 18, 2023",1 min,N
Fibrinogen,(2770),FM,GM_dmitrij,(3048),GM,10,Review,34,"Aug 18, 2023",1 min,N
GM_dmitrij,(3064),GM,Fibrinogen,(2756),FM,10,85.1 81.2,77,"Aug 18, 2023",1 min,N
Fibrinogen,(2758),FM,GM_dmitrij,(3061),GM,01,83.1 91.6,30,"Aug 18, 2023",1 min,N
GM_dmitrij,(3058),GM,Fibrinogen,(2761),FM,10,86.7 77.7,38,"Aug 18, 2023",1 min,N
Fibrinogen,(2764),FM,GM_dmitrij,(3055),GM,01,73.5 77.3,36,"Aug 18, 2023",1 min,N
GM_dmitrij,(3052),GM,Fibrinogen,(2767),FM,10,Review,63,"Aug 18, 2023",1 min,N
Fibrinogen,(2770),FM,GM_dmitrij,(3049),GM,01,76.7 79.9,49,"Aug 18, 2023",1 min,N
GM_dmitrij,(3045),GM,Fibrinogen,(2773),FM,10,Review,43,"Aug 18, 2023",1 min,N
Fibrinogen,(2776),FM,GM_dmitrij,(3041),GM,01,Review,25,"Aug 18, 2023",1 min,N
MightyGMpretender,(2809),NM,GM_dmitrij,(3006),GM,10,85.4 77.9,70,"Aug 18, 2023",3 min,N
GM_dmitrij,(3019),GM,MightyGMpretender,(2797),NM,10,77.5 66.7,67,"Aug 18, 2023",3 min,N
MightyGMpretender,(2801),NM,GM_dmitrij,(3015),GM,½½,76.6 77.3,75,"Aug 18, 2023",3 min,N
GM_dmitrij,(3020),GM,MightyGMpretender,(2796),NM,10,87.2 80.5,41,"Aug 18, 2023",3 min,N
GM_dmitrij,(3016),GM,Itsekuri07,(2843),IM,10,95.2 91,54,"Aug 18, 2023",3 min,N
GM_dmitrij,(3011),GM,dostis,(2905),GM,10,91.1 85.3,44,"Aug 18, 2023",3 min,N
dostis,(2911),GM,GM_dmitrij,(3005),GM,10,80 73.6,38,"Aug 18, 2023",3 min,N
GM_dmitrij,(3016),GM,dostis,(2900),GM,10,84.1 78.2,44,"Aug 18, 2023",3 min,N
dostis,(2906),GM,GM_dmitrij,(3010),GM,01,80.1 90.5,22,"Aug 18, 2023",3 min,N
GM_dmitrij,(3004),GM,TrimitziosP7,(2839),FM,01,82.4 92.2,37,"Aug 16, 2023",3 min,N
TrimitziosP7,(2827),FM,GM_dmitrij,(3016),GM,01,88.5 93.7,53,"Aug 16, 2023",3 min,N
GM_dmitrij,(3012),GM,toniv1,(2394),FM,10,86 80.9,36,"Aug 15, 2023",3|1,Y
GM_dmitrij,(3012),GM,Dedic8,(2759),GM,01,79.6 83.6,70,"Aug 15, 2023",3|1,Y
luksona14,(2588),FM,GM_dmitrij,(3025),GM,01,85.8 94.5,57,"Aug 15, 2023",3|1,Y
GM_dmitrij,(3024),GM,DrMamaliga,(2482),IM,10,95.2 87.1,33,"Aug 15, 2023",3|1,Y
GM_dmitrij,(3023),GM,GaryColdman,(2658),IM,10,85.5 81.9,68,"Aug 9, 2023",3 min,N
GaryColdman,(2660),IM,GM_dmitrij,(3021),GM,01,82.7 91.8,40,"Aug 9, 2023",3 min,N
JeRoma71,(2822),FM,GM_dmitrij,(3019),GM,10,88 84.3,51,"Aug 9, 2023",3 min,N
GM_dmitrij,(3032),GM,JeRoma71,(2809),FM,10,83.1 81.2,36,"Aug 9, 2023",3 min,N
GM_dmitrij,(3028),GM,Incike,(2684),,10,78.3 76.6,55,"Aug 9, 2023",3 min,N
clemcand64,(2660),,GM_dmitrij,(3026),GM,01,80.7 89.6,49,"Aug 3, 2023",3 min,N
NikoTheodorou,(3073),GM,Zlatan56,(2961),GM,10,83.9 82.4,67,"Sep 20, 2023",3 min,N
Zlatan56,(2967),GM,NikoTheodorou,(3067),GM,01,78.7 81.6,40,"Sep 20, 2023",3 min,N
NikoTheodorou,(3061),GM,Zlatan56,(2973),GM,10,78 74.5,41,"Sep 20, 2023",3 min,N
NikoTheodorou,(3055),GM,frederiksvane,(2994),GM,10,81.5 78.1,66,"Sep 20, 2023",3 min,N
frederiksvane,(3001),GM,NikoTheodorou,(3048),GM,10,86.4 78.4,52,"Sep 20, 2023",3 min,N
NikoTheodorou,(3057),GM,lucliasco,(2964),IM,½½,93.3 92.8,60,"Sep 20, 2023",3 min,N
lucliasco,(2959),IM,NikoTheodorou,(3059),GM,10,94.4 88.2,41,"Sep 20, 2023",3 min,N
NikoTheodorou,(3070),GM,Parhamov,(3013),GM,10,90.8 86.3,31,"Sep 20, 2023",3 min,N
Parhamov,(3020),GM,NikoTheodorou,(3063),GM,01,80.9 88.9,35,"Sep 20, 2023",3 min,N
NikoTheodorou,(3056),GM,Parhamov,(3027),GM,10,88.7 78.7,25,"Sep 20, 2023",3 min,N
Jospem,(2997),GM,NikoTheodorou,(3048),GM,01,80.2 77,87,"Sep 20, 2023",3 min,N
NikoTheodorou,(3041),GM,Jospem,(3004),GM,10,93 86,63,"Sep 20, 2023",3 min,N
Jospem,(3011),GM,NikoTheodorou,(3034),GM,01,80.8 88.5,37,"Sep 20, 2023",3 min,N
NikoTheodorou,(3026),GM,Jospem,(3019),GM,10,84.8 76,59,"Sep 20, 2023",3 min,N
NikoTheodorou,(3018),GM,littleplotkin,(2807),FM,10,82.6 71.2,26,"Sep 18, 2023",3 min,N
littleplotkin,(2811),FM,NikoTheodorou,(3014),GM,01,87.8 91.4,103,"Sep 18, 2023",3 min,N
NikoTheodorou,(3010),GM,littleplotkin,(2815),FM,10,80 75,62,"Sep 18, 2023",3 min,N
littleplotkin,(2820),FM,NikoTheodorou,(3006),GM,01,85.3 89.6,39,"Sep 18, 2023",3 min,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,83.8 75.4,63,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,73.9 65.9,67,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,61.2 62.9,24,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,91.7 65,12,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,80.6 88.1,72,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,74.3 74.8,52,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,78.3 89.4,39,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,72 72.5,41,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,80.1 90.4,30,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,95.7 78,28,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,80 73.8,54,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,81.7 78.4,44,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,68.7 77.5,30,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,01,79.9 90.1,40,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,83.4 86.1,34,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,01,72.3 85.3,24,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,80.5 76.6,83,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,76.1 71.3,38,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,79.6 68.3,21,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,Review,23,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,84.2 79.6,43,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,91 84.6,36,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,91.1 82.7,30,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,01,84.3 89.6,67,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,81.6 71.6,40,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,79.1 77.3,77,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,83.5 77.4,37,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,01,Review,29,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,01,74.4 81,40,"Sep 18, 2023",1|1,N
NikoTheodorou,(3023),GM,spicycaterpillar,(3140),GM,10,Review,24,"Sep 18, 2023",1|1,N
spicycaterpillar,(3140),GM,NikoTheodorou,(3023),GM,10,Review,41,"Sep 18, 2023",1|1,N
MagnusCarlsen,(3229),GM,NikoTheodorou,(3002),GM,10,96.5 92.7,29,"Sep 18, 2023",3 min,N
NikoTheodorou,(3006),GM,MagnusCarlsen,(3225),GM,01,88.3 95,43,"Sep 18, 2023",3 min,N
MagnusCarlsen,(3221),GM,NikoTheodorou,(3010),GM,10,87.6 80.4,51,"Sep 18, 2023",3 min,N
NikoTheodorou,(3014),GM,MagnusCarlsen,(3217),GM,01,81 87.3,35,"Sep 18, 2023",3 min,N
MagnusCarlsen,(3213),GM,NikoTheodorou,(3018),GM,01,86 92.9,74,"Sep 18, 2023",3 min,N
NikoTheodorou,(3006),GM,MagnusCarlsen,(3225),GM,½½,81.9 88.6,29,"Sep 18, 2023",3 min,N
MagnusCarlsen,(3230),GM,NikoTheodorou,(3001),GM,10,89.1 88.8,72,"Sep 18, 2023",3 min,N
NikoTheodorou,(3004),GM,MagnusCarlsen,(3227),GM,01,73.3 71.6,81,"Sep 18, 2023",3 min,N
MagnusCarlsen,(3223),GM,NikoTheodorou,(3008),GM,10,86.1 77.2,36,"Sep 18, 2023",3 min,N
NikoTheodorou,(3012),GM,MagnusCarlsen,(3219),GM,01,73.1 68.8,33,"Sep 18, 2023",3 min,N
Njal28,(3067),GM,NikoTheodorou,(3023),GM,10,79.3 71.3,22,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3030),GM,Njal28,(3060),GM,01,74.5 81,35,"Sep 16, 2023",30 sec,N
Njal28,(3052),GM,NikoTheodorou,(3038),GM,10,82.8 76.5,65,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3046),GM,Njal28,(3044),GM,01,71.5 81.1,50,"Sep 16, 2023",30 sec,N
Njal28,(3036),GM,NikoTheodorou,(3054),GM,01,Review,66,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3046),GM,Njal28,(3044),GM,01,Review,63,"Sep 16, 2023",30 sec,N
Njal28,(3036),GM,NikoTheodorou,(3054),GM,10,Review,23,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3063),GM,Njal28,(3027),GM,½½,Review,46,"Sep 16, 2023",30 sec,N
Njal28,(3026),GM,NikoTheodorou,(3064),GM,01,Review,28,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3057),GM,Njal28,(3033),GM,01,Review,39,"Sep 16, 2023",30 sec,N
Njal28,(3024),GM,NikoTheodorou,(3066),GM,10,Review,44,"Sep 16, 2023",30 sec,N
NikoTheodorou,(3075),GM,Njal28,(3015),GM,10,Review,58,"Sep 16, 2023",30 sec,N
