Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
vugarrasulov,2924,GM,MagnusCarlsen,3316,GM,Black Win,32,"Sep 16, 2023",Y,-392,70.2,86.4,-16.200000000000003,1.0,0.0,1.0,Bullet
MagnusCarlsen,3314,GM,Msb2,3090,GM,Draw,73,"Sep 16, 2023",Y,224,87.8,87.2,0.5999999999999943,1.0,0.0,1.0,Bullet
MagnusCarlsen,3319,GM,vugarrasulov,2926,GM,White Win,21,"Sep 16, 2023",Y,393,84.4,71.9,12.5,1.0,0.0,1.0,Bullet
latigre,1593,NM,MagnusCarlsen,3317,GM,Black Win,38,"Sep 16, 2023",Y,-1724,75.6,83.7,-8.100000000000009,1.0,0.0,1.0,Bullet
MagnusCarlsen,3317,GM,adotand,2896,GM,White Win,47,"Sep 16, 2023",Y,421,91.7,84.6,7.1000000000000085,1.0,0.0,1.0,Bullet
MagnusCarlsen,3316,GM,Sl4werThanYou,2855,FM,White Win,50,"Sep 16, 2023",Y,461,93.2,88.0,5.200000000000003,1.0,0.0,1.0,Bullet
djamir,2806,FM,MagnusCarlsen,3315,GM,Black Win,54,"Sep 16, 2023",Y,-509,83.7,84.2,-0.5,1.0,0.0,1.0,Bullet
TrenerChos,2648,IM,MagnusCarlsen,3314,GM,Black Win,34,"Sep 16, 2023",Y,-666,82.8,90.2,-7.400000000000006,1.0,0.0,1.0,Bullet
MagnusCarlsen,3314,GM,penguingm1,3094,GM,White Win,36,"Sep 16, 2023",Y,220,94.5,87.8,6.700000000000003,1.0,0.0,1.0,Bullet
rezamahdavi2008,2920,FM,MagnusCarlsen,3310,GM,Black Win,55,"Sep 16, 2023",Y,-390,79.9,79.4,0.5,1.0,0.0,1.0,Bullet
Haykoooo0o,2570,FM,MagnusCarlsen,3308,GM,Draw,61,"Sep 16, 2023",Y,-738,79.2,82.2,-3.0,1.0,0.0,1.0,Bullet
Durarbayli,2911,GM,MagnusCarlsen,3316,GM,Black Win,37,"Sep 16, 2023",Y,-405,81.2,88.3,-7.099999999999994,1.0,0.0,1.0,Bullet
MagnusCarlsen,3315,GM,chess123456s,2643,FM,White Win,42,"Sep 16, 2023",Y,672,89.8,80.8,9.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3315,GM,Oleksandr_Bortnyk,3157,GM,White Win,88,"Sep 16, 2023",Y,158,86.7,82.6,4.1000000000000085,1.0,0.0,1.0,Bullet
jumpingknight20,2867,FM,MagnusCarlsen,3310,GM,Black Win,15,"Sep 16, 2023",Y,-443,54.1,86.9,-32.800000000000004,1.0,0.0,1.0,Bullet
DanielNaroditsky,3195,GM,MagnusCarlsen,3309,GM,Black Win,34,"Sep 16, 2023",Y,-114,84.2,95.1,-10.899999999999991,1.0,0.0,1.0,Bullet
MagnusCarlsen,3303,GM,CuteSheepCloud,2750,NM,White Win,55,"Sep 16, 2023",Y,553,86.3,78.9,7.3999999999999915,1.0,0.0,1.0,Bullet
MagnusCarlsen,3302,GM,DanielNaroditsky,3200,GM,Black Win,49,"Sep 16, 2023",Y,102,81.0,86.8,-5.799999999999997,1.0,0.0,1.0,Bullet
MagnusCarlsen,3313,GM,mitrabhaa,2936,GM,White Win,49,"Sep 16, 2023",Y,377,84.8,75.9,8.899999999999991,1.0,0.0,1.0,Bullet
LionTheLeon_06,2802,GM,MagnusCarlsen,3311,GM,Black Win,26,"Sep 16, 2023",Y,-509,79.1,89.1,-10.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3310,GM,harshu27,2437,NM,White Win,28,"Sep 16, 2023",Y,873,87.1,76.1,11.0,1.0,0.0,1.0,Bullet
mitrabhaa,2942,GM,MagnusCarlsen,3310,GM,Black Win,40,"Sep 16, 2023",Y,-368,79.1,85.1,-6.0,1.0,0.0,1.0,Bullet
Oleksandr_Bortnyk,3159,GM,MagnusCarlsen,3308,GM,Black Win,21,"Sep 16, 2023",Y,-149,86.5,94.3,-7.799999999999997,1.0,0.0,1.0,Bullet
vugarrasulov,2937,GM,MagnusCarlsen,3303,GM,Black Win,12,"Sep 16, 2023",Y,-366,72.4,95.6,-23.19999999999999,1.0,0.0,1.0,Bullet
Vlad_Lukiianchuk,2747,NM,MagnusCarlsen,3301,GM,Black Win,53,"Sep 16, 2023",Y,-554,80.8,72.7,8.099999999999994,1.0,0.0,1.0,Bullet
MagnusCarlsen,3300,GM,GHANDEEVAM2003,3101,GM,White Win,25,"Sep 16, 2023",Y,199,94.6,78.4,16.19999999999999,1.0,0.0,1.0,Bullet
MagnusCarlsen,3296,GM,Durarbayli,2927,GM,White Win,25,"Sep 16, 2023",Y,369,94.5,85.9,8.599999999999994,1.0,0.0,1.0,Bullet
MagnusCarlsen,3294,GM,TanitoluwaAps116,2737,FM,White Win,28,"Sep 16, 2023",Y,557,86.7,76.8,9.900000000000006,1.0,0.0,1.0,Bullet
